Rk,Player,Pos,Age,Tm,FG%,3P%,TRB,AST,STL,BLK,TOV,PTS
403,Collin Sexton\sextoco01,SG,23,CLE,0.450,0.244,3.3,2.1,0.9,0.0,2.8,16.0
404,Landry Shamet\shamela01,SG,24,PHO,0.378,0.387,2.3,1.6,0.3,0.1,0.6,8.1
405,Day'Ron Sharpe\sharpda01,PF,20,BRK,0.591,0.333,2.9,0.0,0.2,0.3,0.8,3.1
406,Pascal Siakam\siakapa01,PF,27,TOR,0.470,0.300,7.6,3.7,0.6,0.8,2.2,19.1
407,Marko Simonovic\simonma01,C,22,CHI,0.000,0.000,0.7,0.0,0.0,0.0,0.3,1.0
408,Anfernee Simons\simonan01,SG,22,POR,0.446,0.394,2.7,2.1,0.4,0.2,1.1,12.8
409,Jericho Sims\simsje01,PF,23,NYK,1.000,,1.7,0.1,0.2,0.4,0.2,1.0
410,Javonte Smart\smartja01,PG,22,MIL,0.409,0.364,2.0,0.9,0.3,0.0,0.6,3.9
411,Marcus Smart\smartma01,PG,27,BOS,0.378,0.273,3.9,5.6,2.1,0.3,1.9,10.7
412,Dennis Smith Jr.\smithde03,PG,24,POR,0.425,0.278,2.3,3.1,1.3,0.4,1.8,5.8
413,Ish Smith\smithis01,PG,33,CHO,0.417,0.500,1.3,2.4,0.4,0.2,0.9,4.8
414,Jalen Smith\smithja04,PF,21,PHO,0.379,0.091,3.1,0.2,0.2,0.4,0.4,3.7
415,Tony Snell\snellto01,SG,30,POR,0.326,0.306,1.4,0.7,0.2,0.1,0.2,2.0
416,Jaden Springer\sprinja01,SG,19,PHI,,,0.0,0.0,0.0,0.0,0.0,0.0
417,Lamar Stevens\stevela01,PF,24,CLE,0.389,0.400,1.8,0.3,0.2,0.2,0.3,2.8
418,Isaiah Stewart\stewais01,C,20,DET,0.532,0.083,8.1,1.1,0.4,1.2,1.1,7.6
419,Max Strus\strusma01,SF,25,MIA,0.432,0.383,3.0,1.0,0.4,0.1,0.6,8.3
420,Jalen Suggs\suggsja01,PG,20,ORL,0.339,0.255,3.4,3.6,1.1,0.4,3.2,12.3
421,Jae'Sean Tate\tateja01,SF,26,HOU,0.495,0.321,5.8,3.1,0.9,0.7,2.0,12.3
422,Jayson Tatum\tatumja01,SF,23,BOS,0.423,0.339,8.6,3.6,1.0,0.8,2.8,26.2
423,Garrett Temple\templga01,SG,35,NOP,0.391,0.378,2.8,1.0,0.9,0.5,0.8,5.5
424,Daniel Theis\theisda01,C,29,HOU,0.496,0.300,5.2,0.8,0.5,0.7,1.3,8.9
425,Brodric Thomas\thomabr01,SG,25,BOS,,,0.3,0.0,0.0,0.0,0.3,0.0
426,Cameron Thomas\thomaca02,SG,20,BRK,0.387,0.240,1.8,1.0,0.4,0.1,0.4,5.7
427,Matt Thomas\thomama02,SG,27,CHI,0.263,0.222,0.6,0.0,0.3,0.1,0.0,1.5
428,Tristan Thompson\thomptr01,PF,30,SAC,0.545,,5.6,0.5,0.3,0.4,0.9,6.6
429,JT Thor\thorjt01,PF,19,CHO,0.364,0.214,1.7,0.9,0.6,0.4,0.3,3.1
430,Matisse Thybulle\thybuma01,SG,24,PHI,0.464,0.298,2.1,1.0,1.7,1.1,0.9,5.5
431,Killian Tillie\tilliki02,C,23,MEM,0.396,0.364,1.3,0.5,0.5,0.5,0.3,3.5
432,Xavier Tillman Sr.\tillmxa01,PF,23,MEM,0.454,0.222,3.2,1.4,1.2,0.5,0.7,5.3
433,Isaiah Todd\toddis01,PF,20,WAS,0.400,0.571,0.4,0.0,0.4,0.2,0.2,2.6
434,Obi Toppin\toppiob01,PF,23,NYK,0.530,0.196,3.9,0.9,0.3,0.6,0.9,8.7
435,Juan Toscano-Anderson\toscaju01,SF,28,GSW,0.515,0.273,2.8,2.2,0.6,0.4,1.1,4.7
436,Karl-Anthony Towns\townska01,C,26,MIN,0.508,0.423,9.0,3.3,1.1,1.1,3.5,24.3
437,Gary Trent Jr.\trentga02,SG,23,TOR,0.433,0.383,3.2,2.0,2.1,0.3,0.9,17.0
438,P.J. Tucker\tuckepj01,PF,36,MIA,0.503,0.456,5.7,2.1,0.7,0.3,0.9,7.6
439,Myles Turner\turnemy01,C,25,IND,0.513,0.364,7.4,1.0,0.6,2.9,1.3,12.9
440,Jonas Valančiūnas\valanjo01,C,29,NOP,0.522,0.465,12.1,2.4,0.6,0.9,2.2,18.7
441,Denzel Valentine\valende01,SG,28,CLE,0.289,0.320,1.0,0.3,0.3,0.0,0.4,1.7
442,Jarred Vanderbilt\vandeja01,PF,22,MIN,0.561,0.222,8.2,1.2,1.5,0.7,1.0,6.2
443,Fred VanVleet\vanvlfr01,PG,27,TOR,0.430,0.389,5.0,6.5,1.6,0.6,3.1,19.8
444,Devin Vassell\vassede01,SF,21,SAS,0.459,0.364,3.7,1.4,1.1,0.8,0.6,11.1
445,Gabe Vincent\vincega01,PG,25,MIA,0.448,0.389,1.7,2.6,0.7,0.2,1.4,7.3
