	index	Rk	Player	Pos	Age	Tm	FG%	3P%	TRB	AST	STL	BLK	TOV	PTS	All Star %	Conference
441	481	482	Cody Zeller\zelleco01	C	29	POR	0.566	0.0	4.6	0.8	0.3	0.3	0.7	5.1	0.02	West
2	3	4	Santi Aldama\aldamsa01	PF	21	MEM	0.364	0.111	2.6	0.8	0.1	0.2	0.3	3.6	0.01	West
7	8	9	Jose Alvarado\alvarjo01	PG	23	NOP	0.385	0.4	0.6	1.1	0.5	0.0	0.1	1.8	0.01	West
8	9	10	Kyle Anderson\anderky01	PF	28	MEM	0.443	0.357	5.4	2.6	1.1	0.6	1.0	8.4	0.01	West
11	12	13	Carmelo Anthony\anthoca01	PF	37	LAL	0.43	0.413	4.1	0.9	0.7	0.6	0.8	13.4	0.01	West
17	20	21	Marvin Bagley III\baglema01	PF	22	SAC	0.477	0.286	6.7	0.6	0.2	0.3	0.5	8.1	0.01	West
82	90	91	Brandon Clarke\clarkbr01	PF	25	MEM	0.61	0.091	4.4	1.4	0.4	0.9	0.4	7.7	0.01	West
83	91	92	Jordan Clarkson\clarkjo01	SG	29	UTA	0.381	0.305	3.1	2.1	0.6	0.2	1.2	14.9	0.01	West
93	103	104	Jae Crowder\crowdja01	PF	31	PHO	0.405	0.344	4.8	1.4	1.2	0.5	0.9	9.5	0.01	West
94	104	105	Jarrett Culver\culveja01	SG	22	MEM	0.525	0.25	1.5	1.3	0.5	0.1	0.3	4.5	0.01	West
122	135	136	Drew Eubanks\eubandr01	C	24	SAS	0.52	0.2	4.6	1.3	0.4	0.8	1.2	5.5	0.01	West
123	137	138	Derrick Favors\favorde01	C	30	OKC	0.509	0.222	5.1	0.6	0.5	0.2	0.3	5.9	0.01	West
143	161	162	Aaron Gordon\gordoaa01	PF	26	DEN	0.515	0.341	5.6	2.3	0.6	0.7	1.5	14.0	0.01	West
152	170	171	Jeff Green\greenje02	C	35	DEN	0.484	0.328	3.0	1.1	0.3	0.5	1.0	9.6	0.01	West
165	183	184	Josh Hart\hartjo01	PF	26	NOP	0.508	0.333	6.8	4.1	0.8	0.3	1.7	11.3	0.01	West
195	214	215	Andre Iguodala\iguodan01	SF	38	GSW	0.365	0.161	3.5	3.6	0.6	0.7	0.6	3.5	0.01	West
196	215	216	Joe Ingles\inglejo01	SF	34	UTA	0.448	0.402	3.0	3.5	0.5	0.1	1.0	7.8	0.01	West
201	221	222	Reggie Jackson\jacksre01	SG	31	LAC	0.396	0.329	3.5	4.1	0.6	0.2	2.1	17.5	0.01	West
203	224	225	Ty Jerome\jeromty01	SG	24	OKC	0.397	0.282	1.0	1.2	0.6	0.1	0.6	6.5	0.01	West
213	234	235	Damian Jones\jonesda03	C	26	SAC	0.591	0.5	2.8	0.6	0.1	0.3	0.4	2.8	0.01	West
244	268	269	Nassir Little\littlna01	SF	21	POR	0.481	0.316	5.2	0.8	0.7	0.7	0.9	8.6	0.01	West
282	307	308	Chimezie Metu\metuch01	C	24	SAC	0.415	0.274	6.3	0.9	0.8	0.9	1.1	8.6	0.01	West
293	318	319	Marcus Morris\morrima03	PF	32	LAC	0.433	0.371	4.8	1.9	0.5	0.3	1.4	13.8	0.01	West
302	327	328	Larry Nance Jr.\nancela02	PF	29	POR	0.517	0.277	5.3	1.7	0.9	0.3	0.8	6.3	0.01	West
323	350	351	Kelly Oubre Jr.\oubreke01	SF	26	CHO	0.46	0.386	4.1	1.4	1.1	0.3	1.1	16.6	0.01	West
330	357	358	Gary Payton II\paytoga02	PG	29	GSW	0.67	0.417	3.0	0.7	1.2	0.3	0.5	6.4	0.01	West
340	369	370	Dwight Powell\poweldw01	C	30	DAL	0.569	0.35	4.4	1.1	0.4	0.5	0.7	5.5	0.01	West
348	377	378	Austin Reaves\reaveau01	SG	23	LAL	0.5	0.39	2.5	1.1	0.2	0.1	0.7	5.8	0.01	West
394	430	431	Killian Tillie\tilliki02	C	23	MEM	0.396	0.364	1.3	0.5	0.5	0.5	0.3	3.5	0.01	West
398	434	435	Juan Toscano-Anderson\toscaju01	SF	28	GSW	0.515	0.273	2.8	2.2	0.6	0.4	1.1	4.7	0.01	West
4	5	6	Nickeil Alexander-Walker\alexani01	SG	23	NOP	0.366	0.31	3.9	2.6	1.0	0.4	1.5	13.5	0.0	West
21	24	25	Desmond Bane\banede01	SF	23	MEM	0.465	0.407	4.4	2.3	0.9	0.4	1.4	16.2	0.0	West
28	31	32	Keita Bates-Diop\bateske01	SF	26	SAS	0.457	0.2	3.5	0.5	0.5	0.3	0.8	3.8	0.0	West
30	33	34	Kent Bazemore\bazemke01	SF	32	LAL	0.322	0.311	1.9	0.8	0.9	0.3	0.4	4.0	0.0	West
31	34	35	Darius Bazley\bazleda01	PF	21	OKC	0.373	0.281	6.3	1.3	0.9	1.1	1.4	8.5	0.0	West
33	36	37	Malik Beasley\beaslma01	SG	25	MIN	0.361	0.341	3.2	1.6	0.6	0.2	0.7	11.0	0.0	West
40	43	44	Nemanja Bjelica\bjeline01	C	33	GSW	0.479	0.4	3.9	1.6	0.7	0.3	1.1	6.6	0.0	West
44	47	48	Bojan Bogdanović\bogdabo02	PF	32	UTA	0.474	0.422	3.8	1.7	0.5	0.0	1.4	17.0	0.0	West
46	49	50	Leandro Bolmaro\bolmale01	SF	21	MIN	0.267	0.1	1.8	0.5	0.3	0.0	0.5	1.5	0.0	West
49	52	53	Brandon Boston Jr.\bostobr01	SG	20	LAC	0.392	0.343	1.6	0.4	0.6	0.2	0.7	5.8	0.0	West
51	54	55	James Bouknight\bouknja01	SG	21	CHO	0.375	0.474	1.6	0.4	0.1	0.0	0.4	4.0	0.0	West
52	55	56	Avery Bradley\bradlav01	SG	31	LAL	0.406	0.4	2.5	0.8	0.8	0.2	0.5	5.8	0.0	West
54	58	59	Mikal Bridges\bridgmi01	SF	25	PHO	0.527	0.389	3.9	1.8	1.4	0.5	0.8	12.1	0.0	West
58	62	63	Armoni Brooks\brookar01	SG	23	HOU	0.373	0.333	1.9	1.3	0.6	0.2	0.5	6.6	0.0	West
63	68	69	Sterling Brown\brownst02	SG	26	DAL	0.355	0.275	3.2	0.8	0.5	0.2	0.7	3.0	0.0	West
66	71	72	Reggie Bullock\bullore01	SF	30	DAL	0.354	0.274	2.7	0.9	0.3	0.1	0.6	5.6	0.0	West
72	78	79	Facundo Campazzo\campafa01	PG	30	DEN	0.396	0.356	1.8	3.1	1.0	0.3	1.0	6.1	0.0	West
78	85	86	Willie Cauley-Stein\caulewi01	C	28	DAL	0.457	0.5	2.1	0.5	0.3	0.2	0.4	1.9	0.0	West
80	87	88	Chris Chiozza\chiozch01	PG	26	GSW	0.367	0.409	1.5	1.6	0.5	0.0	0.8	2.9	0.0	West
84	93	94	Amir Coffey\coffeam01	SG	24	LAC	0.341	0.333	1.6	0.6	0.1	0.1	0.3	3.3	0.0	West
91	101	102	Robert Covington\covinro01	PF	31	POR	0.387	0.333	4.7	1.2	1.2	1.1	1.1	6.4	0.0	West
99	110	111	Terence Davis\daviste02	SG	24	SAC	0.414	0.295	3.0	1.0	0.8	0.4	1.3	9.2	0.0	West
107	119	120	Luguentz Dort\dortlu01	SF	22	OKC	0.423	0.332	3.8	1.8	0.8	0.4	1.6	17.0	0.0	West
111	124	125	PJ Dozier\doziepj01	SG	25	DEN	0.364	0.313	3.5	1.6	0.6	0.3	0.7	5.4	0.0	West
120	133	134	Wayne Ellington\ellinwa01	SG	34	LAL	0.397	0.398	1.5	0.7	0.5	0.1	0.4	6.6	0.0	West
124	139	140	Dorian Finney-Smith\finnedo01	PF	28	DAL	0.435	0.37	4.8	1.8	1.4	0.5	1.0	9.3	0.0	West
134	152	153	Usman Garuba\garubus01	PF	19	HOU	0.375	0.222	2.6	0.8	0.4	0.4	0.2	1.7	0.0	West
136	154	155	Rudy Gay\gayru01	PF	35	UTA	0.443	0.4	5.0	0.9	0.5	0.2	0.9	9.4	0.0	West
